text,Beauty,Education,Fashion,Finance,Food,Gamers,Gigs Worker,Health,Homedecor,Kpop,Lifestyle,Music,Otomotif,Parenting,Politik,Reviewer,Sport,Technology,Traveling
celebrate the new year together at finnsbeachclub,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
friendship bestie bali beachclubbali beachclub finns finnsbeachclub holiday beach friends love ootd bikini latepost girl ladies couplegoals couple fashion beauty balilifestyle balilife instagram instadaily newyear nye 2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nah kan bandel sih,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dmotovlog rs125 apriliars125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ilovesoundnya,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gatau look apa tapi aku sukakkk hhi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pada kangen kan sama video makeup makeup kuu hhi sowrrey bngt yang pada minta transisi aku belon garappp euyyyyyyy karena aku lagi ada kegiatan jadi belum sempet udat edit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tunggu yaa videoku yang lainn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pantai cemara puger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hi guys aku suka banget nih pake produk dari emina face wash karena bikin kulit wajahku jadi cerah dan segar oh yaa kebetulan sekarang emina lagi ngadain face wash challenge nih guys kalian harus ikutan bikin video face wash kayak aku gini nih guys this is my cutie face wash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
name your face wash challenge misalnya this is my easy bright,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eminafacewashchallenge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
make your most creative moves to clean your face with emina bright,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stuff face wash download emina s jingle at link here https bit ly 2gl6yfk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mention eminacosmetics dengan hashtag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facewashchallenge eminabeautybestie brightstuffbrightme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
price instax emina voucher masing masing 100 ribu untuk 10 pemenang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my favorite serum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medglowskincare medglow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
